"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20190815","11620","관악구","515410.95750","490287.00060","22938.87240","2185.08450","549282.66470","476810.10850","488740.66750","534461.16470","182674.80510","29198.58970","104934.31180","48541.90360"
"20190815","11650","서초구","560886.23840","538812.35390","16225.37240","5848.51210","606483.77710","508003.10990","594072.62870","537181.67390","281964.42080","87161.76490","77811.37740","116991.27850"
"20190815","11680","강남구","747957.36320","709660.62020","21908.04970","16388.69320","826365.20130","676003.94680","800937.05260","710114.72790","369835.19210","105524.60790","106201.98080","158108.60340"
"20190815","11710","송파구","786466.06400","761947.55810","18299.24010","6219.26580","809060.06910","772824.75720","792050.91270","782476.88640","332890.91080","88673.87960","155020.22180","89196.80940"
"20190815","11740","강동구","490251.64000","479096.22850","10060.30650","1095.10500","514524.71920","458867.61160","469158.64050","505318.06830","195965.45770","38058.33840","123847.13020","34059.98910"
"20190814","11000","서울시","11324839.20010","10754914.81930","412201.49970","157722.88110","11679732.34320","10981935.12120","11613522.10320","11118637.12640","6211510.75300","1535891.59760","2095659.52170","2579959.63370"
"20190814","11110","종로구","351885.05950","322510.51210","16518.20360","12856.34390","478091.26350","245404.12550","447622.50340","283501.17110","293949.89520","80623.98000","32184.70810","181141.20710"
"20190814","11140","중구","401731.05660","329707.88900","26032.48360","45990.68400","563497.32140","257634.94210","531117.06790","309312.47710","360233.63820","97341.03040","31263.71820","231628.88960"
"20190814","11170","용산구","326653.60900","295802.28320","21681.86510","9169.46080","360893.41160","284407.44010","354492.49230","306768.69240","199973.28160","57586.42130","43458.05830","98928.80200"
"20190814","11200","성동구","358150.32390","342232.81310","14172.67400","1744.83680","372294.80170","344311.26840","367730.19700","351307.55740","201089.68220","39364.37130","63835.85960","97889.45130"
"20190814","11215","광진구","389579.73110","365895.59060","21789.20450","1894.93610","417674.22940","356775.85070","365579.55570","406722.71360","179892.23970","34894.43750","78230.46350","66767.33870"
"20190814","11230","동대문구","374975.43360","352772.80220","18940.27620","3262.35520","385185.56570","364595.57660","371301.99730","377599.31670","185731.55930","33065.80380","71011.41430","81654.34120"
"20190814","11260","중랑구","353460.78520","347314.53290","5642.89050","503.36180","394874.88990","308968.64910","319027.49940","378055.98930","148962.12200","25165.44410","86903.00200","36893.67590"
"20190814","11290","성북구","427616.66380","412896.47330","12422.32320","2297.86730","465267.91340","392901.99580","398560.44610","448371.10510","176950.80460","22923.95350","84908.20990","69118.64120"
"20190814","11305","강북구","296748.33820","291356.49030","4817.02210","574.82580","331891.77670","261105.66020","268304.46450","317065.39080","160983.28570","11069.80740","107750.37350","42163.10480"
"20190814","11320","도봉구","273170.53450","269915.77670","2844.82490","409.93300","304123.64490","241637.56790","248180.74970","291020.38080","126656.05350","17738.80630","73226.23490","35691.01230"
"20190814","11350","노원구","507397.56290","501249.56010","5200.17430","947.82850","551161.38580","460865.41140","469716.60050","534312.53600","208586.07380","34234.27360","119891.53920","54460.26100"
"20190814","11380","은평구","433040.11830","424999.50920","7097.78760","942.82150","491146.44580","374711.24710","385346.65620","467106.87690","168872.26240","28998.25360","106501.23910","33372.76970"
"20190814","11410","서대문구","403752.04360","369732.61050","23511.56310","10507.87000","424050.72110","385475.74230","416398.87250","394718.59440","218055.95330","49082.61420","62873.66480","106099.67430"
"20190814","11440","마포구","519200.18410","482028.67810","22840.68870","14330.81730","562031.73980","473095.02660","544989.38810","500779.32400","297984.85470","76804.89450","81324.50180","139855.45840"
"20190814","11470","양천구","395823.31120","388351.97210","6517.06710","954.27200","428944.39710","363389.96930","369417.75870","414684.42010","180302.06310","30278.30450","88284.94610","61738.81250"
"20190814","11500","강서구","541718.43260","524305.78040","10756.70660","6655.94560","576089.69830","510852.75810","516232.90440","559922.38140","245333.40290","64952.78250","116611.26760","63769.35280"
"20190814","11530","구로구","427085.72640","396240.77520","27397.76800","3447.18330","436265.34220","416301.48110","423169.46580","429883.05550","216871.30980","70605.01030","70763.47110","75502.82840"
"20190814","11545","금천구","245887.07970","227454.97200","16662.79030","1769.31740","269911.25090","224468.80420","266875.15650","230895.59620","158264.99760","58564.57160","45221.29550","54479.13050"
"20190814","11560","영등포구","541102.29050","495438.68280","39274.34560","6389.26220","616336.99640","463855.70720","605628.37760","495012.22830","362840.41590","100735.50210","82882.08330","179222.83050"
"20190814","11590","동작구","403275.20380","387719.95950","13871.61250","1683.63180","440325.32950","363304.98030","371944.53180","425654.25520","168536.22220","32817.24030","65414.37260","70304.60930"
"20190814","11620","관악구","490054.10290","466991.99290","21090.48760","1971.62240","556191.38920","420977.09780","434189.37100","529957.48280","205145.08010","34732.34520","112264.66260","58148.07230"
"20190814","11650","서초구","661340.68680","636678.59960","18549.87430","6112.21290","792389.13260","525607.54460","767750.81360","585333.45350","464405.95170","156091.80850","83501.77720","224812.36600"
"20190814","11680","강남구","919991.26000","877674.05240","26042.38730","16274.82040","1166028.11200","697683.82450","1115220.89580","780541.52010","688065.04770","216705.91350","122231.82050","349127.31370"
"20190814","11710","송파구","798277.21460","773614.78480","18500.32190","6162.10790","816965.92650","782108.14530","803464.48070","794572.02460","405652.08240","114974.55460","164716.65100","125960.87680"
"20190814","11740","강동구","482922.44740","472027.72650","10026.15740","868.56350","519399.30080","443109.59150","451259.85700","505538.58340","224645.45070","49845.06510","127827.28920","46973.09640"
"20190813","11000","서울시","11317600.09360","10748964.42080","413089.78280","155545.89000","11707917.89550","10930621.91120","11630870.47940","11093835.53230","6284534.14520","1551773.80350","2135023.63950","2597736.70220"
"20190813","11110","종로구","348207.26310","319787.95610","16429.04360","11990.26330","482239.80600","242157.31200","446727.62780","277835.57390","299548.38900","83492.41880","32984.16940","183071.80080"
"20190813","11140","중구","400630.46550","330593.70430","25648.95960","44387.80160","575206.03160","253823.15080","536483.68710","303592.45010","370951.22920","102801.29670","32180.19950","235969.73300"
"20190813","11170","용산구","321381.65380","291054.42990","21514.52550","8812.69840","358720.89670","280719.87250","352853.91440","298901.46770","200660.48790","57941.97530","43997.79240","98720.72020"
"20190813","11200","성동구","359301.39000","343192.38810","14320.72970","1788.27230","375666.61800","342865.94420","369057.55840","352332.69830","203564.21100","40095.59930","64723.59660","98745.01510"
"20190813","11215","광진구","387767.78230","364021.67680","21911.42540","1834.68010","414219.44720","353503.31980","363014.57350","405448.64570","177391.80720","34339.38300","79484.64460","63567.77960"
"20190813","11230","동대문구","374749.10420","352742.61600","18836.58860","3169.89960","385761.06110","366546.18260","369952.47030","378175.27120","187791.25730","32996.27460","72552.85990","82242.12280"
"20190813","11260","중랑구","354429.19040","348248.65650","5723.52020","457.01370","393802.05960","311087.52760","319673.89330","379254.40260","151220.19430","25154.64630","89154.37860","36911.16940"
"20190813","11290","성북구","427995.24860","413570.14120","12207.16110","2217.94630","462514.39060","391159.40620","398134.25810","449324.52760","178540.26170","22344.58150","86370.61980","69825.06040"
